epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5168,1.28366,2.29821,1.44941,0.46132,0.4555,0.39095,0.20553,1.38733,3.9851,1.68822,0.000546557,0.000546557,0.000546557
2,76.6627,1.42138,1.84126,1.5404,0.29126,0.34385,0.217,0.12016,1.68233,4.76,1.95688,0.00109036,0.00109036,0.00109036
3,116.572,1.43651,1.76175,1.54132,0.30538,0.22536,0.18317,0.07418,2.28765,3.33791,2.53716,0.00162259,0.00162259,0.00162259
4,157.139,1.42848,1.76268,1.5553,0.28301,0.2896,0.19619,0.09366,1.87132,3.9074,2.26151,0.00161376,0.00161376,0.00161376
5,197.85,1.40199,1.65604,1.51432,0.50526,0.37754,0.37802,0.1966,1.68221,2.77159,1.87954,0.00159525,0.00159525,0.00159525
6,238.86,1.31363,1.57855,1.4615,0.63595,0.60348,0.61799,0.36139,1.34594,1.59644,1.56604,0.00157632,0.00157632,0.00157632
7,278.515,1.29665,1.5086,1.44188,0.59402,0.45574,0.50342,0.27707,1.52149,1.83812,1.69651,0.00155819,0.00155819,0.00155819
8,319.024,1.28383,1.45356,1.4269,0.63678,0.5194,0.59867,0.36894,1.34377,1.67606,1.55866,0.00154005,0.00154005,0.00154005
9,359.757,1.24568,1.39509,1.40871,0.55016,0.66529,0.63158,0.37747,1.31583,1.65858,1.52514,0.00152192,0.00152192,0.00152192
10,400.947,1.20658,1.32614,1.37658,0.6825,0.56308,0.64899,0.40649,1.23261,1.50122,1.50748,0.00150197,0.00150197,0.00150197
11,440.192,1.19317,1.28978,1.3697,0.80286,0.60829,0.73687,0.45115,1.31476,1.33029,1.51318,0.00148363,0.00148363,0.00148363
12,481.395,1.14762,1.24033,1.35073,0.68963,0.62361,0.6594,0.40715,1.27866,1.50974,1.50781,0.00146529,0.00146529,0.00146529
13,521.35,1.11905,1.17824,1.3287,0.75821,0.70788,0.77789,0.50482,1.14311,1.15642,1.39619,0.00144696,0.00144696,0.00144696
14,561.592,1.11694,1.17458,1.32242,0.76999,0.68818,0.78592,0.53227,1.11223,1.13357,1.36349,0.00142862,0.00142862,0.00142862
15,601.857,1.11205,1.15802,1.31035,0.76611,0.69628,0.77711,0.47091,1.20071,1.20001,1.39562,0.00141028,0.00141028,0.00141028
16,642.013,1.07932,1.10616,1.29411,0.70202,0.75749,0.80604,0.54086,1.12097,1.06605,1.33149,0.00139195,0.00139195,0.00139195
17,682.276,1.05138,1.05173,1.26586,0.82185,0.67812,0.78262,0.50808,1.14633,1.12493,1.38664,0.00137361,0.00137361,0.00137361
18,722.507,1.04064,1.02716,1.2673,0.80742,0.74537,0.83384,0.5698,1.07204,0.97941,1.30142,0.00135527,0.00135527,0.00135527
19,762.671,1.02718,1.0132,1.26107,0.74773,0.74375,0.79809,0.52846,1.07933,1.02916,1.32016,0.00133693,0.00133693,0.00133693
20,802.401,1.01234,0.97932,1.23563,0.79593,0.7241,0.81246,0.55507,1.05474,1.08225,1.28946,0.0013186,0.0013186,0.0013186
